0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:56 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:57 +0200] "GET /web-market/contact HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:57 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:58 +0200] "GET /web-market/userCabinet HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:58 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:58 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:59 +0200] "GET /web-market/shopping_cart HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:53:59 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/products?size=10&page=1 HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 167761
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/getStudentPhoto/6 HTTP/1.1" 200 247656
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/getStudentPhoto/4 HTTP/1.1" 200 254988
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/getStudentPhoto/5 HTTP/1.1" 200 318108
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/getStudentPhoto/9 HTTP/1.1" 200 51041
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/getStudentPhoto/8 HTTP/1.1" 200 256990
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/getStudentPhoto/7 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:01 +0200] "GET /web-market/getStudentPhoto/10 HTTP/1.1" 200 277342
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:06 +0200] "GET /web-market/shopping_cart HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:07 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:10 +0200] "GET /web-market/products?size=10&page=1 HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:10 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:10 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:11 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:11 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 167761
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:11 +0200] "GET /web-market/getStudentPhoto/4 HTTP/1.1" 200 254988
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:11 +0200] "GET /web-market/getStudentPhoto/6 HTTP/1.1" 200 247656
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:11 +0200] "GET /web-market/getStudentPhoto/5 HTTP/1.1" 200 318108
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:11 +0200] "GET /web-market/getStudentPhoto/7 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:11 +0200] "GET /web-market/getStudentPhoto/9 HTTP/1.1" 200 51041
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:11 +0200] "GET /web-market/getStudentPhoto/8 HTTP/1.1" 200 256990
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:54:11 +0200] "GET /web-market/getStudentPhoto/10 HTTP/1.1" 200 277342
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:56:53 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:04 +0200] "GET /web-market/ HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:04 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:11 +0200] "POST /web-market/products?size=10&page=1 HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 167761
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/getStudentPhoto/4 HTTP/1.1" 200 254988
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/getStudentPhoto/5 HTTP/1.1" 200 318108
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/getStudentPhoto/9 HTTP/1.1" 200 51041
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/getStudentPhoto/6 HTTP/1.1" 200 247656
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/getStudentPhoto/8 HTTP/1.1" 200 256990
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/getStudentPhoto/7 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:12 +0200] "GET /web-market/getStudentPhoto/10 HTTP/1.1" 200 277342
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:15 +0200] "GET /web-market/shopping_cart HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:15 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:18 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:30 +0200] "GET /web-market/ HTTP/1.1" 200 2245
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:31 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "POST /web-market/products?size=10&page=1 HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "GET /web-market/getStudentPhoto/1 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "GET /web-market/getStudentPhoto/2 HTTP/1.1" 200 135367
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "GET /web-market/resources/static/css/sansation_light.woff HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "GET /web-market/getStudentPhoto/7 HTTP/1.1" 200 296360
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "GET /web-market/getStudentPhoto/4 HTTP/1.1" 200 254988
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "GET /web-market/getStudentPhoto/3 HTTP/1.1" 200 167761
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "GET /web-market/getStudentPhoto/9 HTTP/1.1" 200 51041
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "GET /web-market/getStudentPhoto/5 HTTP/1.1" 200 318108
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "GET /web-market/getStudentPhoto/6 HTTP/1.1" 200 247656
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:39 +0200] "GET /web-market/getStudentPhoto/8 HTTP/1.1" 200 256990
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:40 +0200] "GET /web-market/getStudentPhoto/10 HTTP/1.1" 200 277342
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:50 +0200] "GET /web-market/shopping_cart HTTP/1.1" 200 4210
0:0:0:0:0:0:0:1 - - [10/Feb/2023:19:57:50 +0200] "GET /web-market/sansation_light.woff HTTP/1.1" 404 806
